host,date,count
quark.phys.ufl.edu,1995-07-17,1
ix-la15-25.ix.netcom.com,1995-07-18,1
128.158.48.64,1995-07-19,1
nadc.nadc.navy.mil,1995-07-20,7
gw1.fbc.com,1995-07-20,4
ttyub.tyrell.net,1995-07-21,1
golden.ripco.com,1995-07-21,4
cs1-03.spa.ptd.net,1995-07-22,3
romulus.ultranet.com,1995-07-22,1
tsn1.agt.gmeds.com,1995-08-30,2
shihpc.gsfc.nasa.gov,1995-08-30,1
spades.prin.edu,1995-08-30,1
fred.ibus.com,1995-08-30,2
labmac.mcd.com,1995-08-30,7
relay.ubss.com,1995-08-31,1
ts1-pt4.pcnet.com,1995-08-31,3
ip-pdx2-48.teleport.com,1995-07-27,2
kanilsson.info.slu.se,1995-07-27,1
bigmac.eag.unisysgsg.com,1995-07-27,2
167.208.242.105,1995-08-03,1
n1032942.ksc.nasa.gov,1995-08-05,1
jimi.vianet.net.au,1995-08-06,1
dyn17.slip.technet.sg,1995-08-08,1
pm031-07.dialip.mich.net,1995-08-08,1
davesr.imc.sfu.ca,1995-08-08,1
ppp5.swcp.com,1995-08-09,1
www-b3.proxy.aol.com,1995-08-09,1
red123.redshift.com,1995-08-10,1
ocolon.gsfc.nasa.gov,1995-08-11,1
199.4.109.130,1995-08-12,1
163.206.150.17,1995-08-15,1
slip04.unf.edu,1995-08-18,2
140.198.53.139,1995-08-19,1
www-d3.proxy.aol.com,1995-08-20,1
pc1318.dpsc.dla.mil,1995-08-21,3
fnugget.intel.com,1995-08-23,1
nosan.eng.agr.kyushu-u.ac.jp,1995-08-25,1
osiris.wu-wien.ac.at,1995-08-25,1
ip144.chicago2.il.interramp.com,1995-08-25,2
ts1-6.net.netbistro.com,1995-08-29,1
digcom.tcp.co.uk,1995-07-01,1
alyssa.prodigy.com,1995-07-02,1
gatekeeper.mitre.org,1995-07-03,1
bridge9.castle.net,1995-07-04,1
n1142699.ksc.nasa.gov,1995-07-05,1
www-a1.proxy.aol.com,1995-07-06,7
198.147.175.191,1995-07-06,1
s003n222.csun.edu,1995-07-06,1
www-a1.proxy.aol.com,1995-07-09,4
chem1.awi-bremerhaven.de,1995-07-11,1
jallen.csd.sc.edu,1995-07-11,1
aerospat.pobox.oleane.com,1995-07-12,2
dialup-3-176.gw.umn.edu,1995-07-13,1
issi.traveller.com,1995-07-14,1
gw3.draper.com,1995-07-17,2
192.127.247.27,1995-07-17,3
s15-255.ties.k12.mn.us,1995-07-18,1
www-d2.proxy.aol.com,1995-07-18,1
wwwproxy.westpub.com,1995-07-19,1
wustlb.wustl.edu,1995-07-20,1
pc438.isg.rest.tasc.com,1995-07-21,1
www-d1.proxy.aol.com,1995-07-23,3
pris.eeap.cwru.edu,1995-07-25,8
query2.lycos.cs.cmu.edu,1995-07-26,1
h-pandemonium.norfolk.infi.net,1995-08-29,3
ix-min4-04.ix.netcom.com,1995-08-30,14
comp.uark.edu,1995-08-31,2
nelsons.wl.cc.mn.us,1995-07-27,1
163.206.89.4,1995-07-27,2
131.64.214.134,1995-07-28,1
gikai.eng.nhk.or.jp,1995-08-01,2
parallel.scandal.cs.cmu.edu,1995-08-04,1
204.138.95.101,1995-08-05,1
n1391123.ksc.nasa.gov,1995-08-07,1
public.lasc.lockheed.com,1995-08-07,1
slipper113.iaccess.za,1995-08-09,1
cedric.onthenet.com.au,1995-08-10,2
140.109.103.161,1995-08-12,1
169.197.2.70,1995-08-12,1
199.183.208.130,1995-08-13,1
205.229.32.71,1995-08-13,1
holli-ko-69.holli.com,1995-08-15,2
143.108.39.120,1995-08-17,6
n1373377.ksc.nasa.gov,1995-08-18,2
131.120.50.217,1995-08-18,1
www-d2.proxy.aol.com,1995-08-26,2
netport-38.iu.net,1995-08-27,1
slip7.xroads.com,1995-08-27,2
hydra.wcupa.edu,1995-08-27,1
dialup37.infobahnos.com,1995-08-27,2
ix-pat1-21.ix.netcom.com,1995-07-02,1
sgi14.phlab.missouri.edu,1995-07-02,1
eats03.et.tu-dresden.de,1995-07-03,1
piweba3y.prodigy.com,1995-07-04,4
navajo.gate.net,1995-07-05,1
ppp14.asahi-net.or.jp,1995-07-05,5
uxmain_eth.nlr.nl,1995-07-06,1
163.205.12.167,1995-07-06,2
133.170.24.23,1995-07-06,1
gas.physics.usu.edu,1995-07-08,1
www-c2.proxy.aol.com,1995-07-08,4
dyn-382.direct.ca,1995-07-11,1
jericho3.microsoft.com,1995-07-11,2
128.158.30.96,1995-07-13,3
131.110.54.140,1995-07-13,3
webgate1.mot.com,1995-07-14,2
www-d3.proxy.aol.com,1995-07-15,7
rgfn.epcc.edu,1995-07-18,1
129.61.111.14,1995-07-18,1
stimpy.eecis.udel.edu,1995-07-18,8
pipe2.h1.usa.pipeline.com,1995-07-19,1
query2.lycos.cs.cmu.edu,1995-07-20,1
proxy.kodak.com,1995-07-25,2
glass.toledolink.com,1995-07-25,6
ts2-pt28.pcnet.com,1995-08-31,2
crl14.crl.com,1995-08-07,1
cindy.yamato.ibm.co.jp,1995-08-07,1
168.188.203.58,1995-08-08,3
163.206.89.4,1995-08-08,3
badboy.iprolink.ch,1995-08-09,2
bam.nuri.net,1995-08-11,3
204.182.71.62,1995-08-13,1
204.235.81.66,1995-08-13,1
192.72.189.1,1995-08-15,1
port2.modem1.cc.swt.edu,1995-08-15,1
dialup-2-155.gw.umn.edu,1995-08-16,1
cohosalmon.execpc.com,1995-08-17,1
mpngate1.ny.us.ibm.net,1995-08-18,1
spui-08.denhaag.dataweb.nl,1995-08-20,2
ns.nuis.ac.jp,1995-08-22,1
kfp-ela1.slac.stanford.edu,1995-08-25,1
ix-col1-25.ix.netcom.com,1995-08-25,3
www-d2.proxy.aol.com,1995-08-27,3
gatsby.hip.berkeley.edu,1995-08-28,2
ad03-027.compuserve.com,1995-07-01,1
port-2-11.access.one.net,1995-07-02,1
proxy0.research.att.com,1995-07-03,1
cds07.ateng.az.honeywell.com,1995-07-03,1
fnugget.intel.com,1995-07-04,1
ad15-006.compuserve.com,1995-07-05,3
199.16.15.28,1995-07-05,1
www-b3.proxy.aol.com,1995-07-06,6
www.mclink.it,1995-07-06,1
cl.globalx.net,1995-07-07,1
ix-pit3-03.ix.netcom.com,1995-07-08,2
www-a2.proxy.aol.com,1995-07-09,13
www-a2.proxy.aol.com,1995-07-10,1
ix-sf2-17.ix.netcom.com,1995-07-11,3
204.30.21.31,1995-07-12,2
ppp034.inreach.com,1995-07-12,1
ix-har6-06.ix.netcom.com,1995-07-12,2
w-dyna160.net.interaccess.com,1995-07-13,2
ppp-nyc-1-15.ios.com,1995-07-13,1
paulpc.tpa.cst.titan.com,1995-07-17,3
204.210.255.16,1995-07-18,1
dialup21.av.ca.qnet.com,1995-07-18,1
www-relay.pa-x.dec.com,1995-07-21,4
139.169.59.52,1995-07-25,1
192.112.239.127,1995-08-29,4
pm1:07.freeway.net,1995-08-29,1
osip84.ionet.net,1995-08-30,2
gw.bbt.com,1995-08-31,1
gate1.btco.com,1995-08-31,2
fault.stanford.edu,1995-08-04,2
204.227.13.28,1995-08-05,6
pm1-24.abc.se,1995-08-07,2
beta.hut.fi,1995-08-08,2
venus.javeriana.edu.co,1995-08-08,1
pm2_bu_16.terminus.com,1995-08-09,1
maccrew.dfrc.nasa.gov,1995-08-11,1
128.101.62.101,1995-08-14,2
128.159.143.26,1995-08-14,1
www.c3.lanl.gov,1995-08-17,1
n167437.ksc.nasa.gov,1995-08-18,1
ppp_port3.xenologics.com,1995-08-19,3
mx.fujikura.co.jp,1995-08-19,1
vax4.open.ac.uk,1995-08-20,1
userp7.snowhill.com,1995-08-20,1
ix-sea9-15.ix.netcom.com,1995-08-23,2
dial1.acn.purdue.edu,1995-08-24,1
159.142.92.108,1995-08-24,1
www-e1f.gnn.com,1995-08-24,1
slip11.cei.net,1995-08-27,1
dial6.sdcoe.k12.ca.us,1995-08-27,8
wwwproxy2.ca.sandia.gov,1995-08-28,1
163.205.23.57,1995-08-28,1
d127.elsy.cf.ac.uk,1995-08-29,2
carober.illuminet.net,1995-07-02,1
ad09-025.compuserve.com,1995-07-03,2
128.192.48.83,1995-07-06,1
asynca139.nist.gov,1995-07-07,2
dwkm65.usa1.com,1995-07-08,2
hou02.onramp.net,1995-07-10,1
contad6.contad.unam.mx,1995-07-10,1
www-a1.proxy.aol.com,1995-07-11,5
cad20.cadvision.com,1995-07-12,1
picard.acs.appstate.edu,1995-07-12,2
basyl142.bwi.wec.com,1995-07-13,2
s4_portmaster1.neptune.com,1995-07-13,1
nac-150.neural.com,1995-07-14,2
ppp120.amaranth.com,1995-07-16,2
a101004.sfo1.as.crl.com,1995-07-17,1
129.244.221.63,1995-07-18,1
n1142702.ksc.nasa.gov,1995-07-18,15
163.205.23.153,1995-07-20,1
hlbpc17.ele.kth.se,1995-07-21,1
bigmike.atw.fullfeed.com,1995-07-24,1
dyn-300.direct.ca,1995-07-24,5
199.227.1.133,1995-07-25,1
dwayne.u.aloha.net,1995-08-29,2
passage.denhaag.dataweb.nl,1995-08-29,1
ix-hou6-09.ix.netcom.com,1995-08-29,4
www-e1f.gnn.com,1995-08-31,2
ad047.du.pipex.com,1995-07-26,1
165.212.158.111,1995-08-01,1
sdn_b6_f02_ip.dny.rockwell.com,1995-08-04,4
204.181.41.12,1995-08-05,1
endeavor.fujitsu.co.jp,1995-08-05,1
waltspc.msfc.nasa.gov,1995-08-09,2
"",1995-08-09,2
public.lasc.lockheed.com,1995-08-10,1
bsccom.pnet.msen.com,1995-08-11,2
204.50.1.31,1995-08-12,1
194.128.188.65,1995-08-13,3
dialup01.tokyo.infoweb.or.jp,1995-08-14,1
metabelis.rmit.edu.au,1995-08-16,1
144.44.64.29,1995-08-16,3
gatekeeper.sciatl.com,1995-08-16,1
vpdir003.gtri.gatech.edu,1995-08-17,1
ak193.du.pipex.com,1995-08-19,1
bcafe.compusmart.ab.ca,1995-08-19,1
arsun6.arm.ac.uk,1995-08-20,2
www-c6.proxy.aol.com,1995-08-21,2
130.163.112.141,1995-08-22,1
"",1995-08-23,1
veta.andersen.com,1995-08-24,1
van14415.direct.ca,1995-08-24,2
147.74.34.160,1995-08-25,2
ad22-022.compuserve.com,1995-08-27,1
hydra.wcupa.edu,1995-07-02,1
ppp108.awod.com,1995-07-03,1
jelly.ravensoft.com,1995-07-03,3
dd08-006.compuserve.com,1995-07-05,3
198.83.13.33,1995-07-05,2
gma.bris.ac.uk,1995-07-06,2
204.97.213.14,1995-07-06,2
ix-lb8-26.ix.netcom.com,1995-07-07,1
alyssa.prodigy.com,1995-07-08,4
www-d3.proxy.aol.com,1995-07-12,3
204.101.84.35,1995-07-12,1
128.158.49.222,1995-07-14,2
www-c4.proxy.aol.com,1995-07-15,1
dd15-015.compuserve.com,1995-07-15,1
ix-wpb-fl1-05.ix.netcom.com,1995-07-16,4
192.217.90.104,1995-07-17,2
gate.ps.cae.ntt.jp,1995-07-17,1
joejd.pr.mcs.net,1995-07-18,7
orpheus.amdahl.com,1995-07-18,1
kathy_pc.teachersoft.com,1995-07-18,1
novix02.brooklyn.cuny.edu,1995-07-19,1
magi02p30.magi.com,1995-07-22,2
www-c1.proxy.aol.com,1995-07-23,1
turowski.accessone.com,1995-07-23,1
128.159.111.141,1995-07-25,2
163.205.23.107,1995-07-25,1
port23.annex.nwlink.com,1995-07-26,1
rzis1.rz.tu-bs.de,1995-08-29,2
163.205.23.109,1995-08-29,2
203.15.32.1,1995-08-30,1
ppp06.quiknet.com,1995-08-30,1
www-d1.proxy.aol.com,1995-08-30,1
ifm1.ifm.umich.mx,1995-08-31,1
168.166.48.246,1995-07-28,1
www-proxy.crl.research.digital.com,1995-08-03,1
utsmc-2.swmed.edu,1995-08-04,1
204.19.119.165,1995-08-06,1
199.218.238.146,1995-08-08,1
bootp-168-228.bootp.virginia.edu,1995-08-08,3
dd24-003.compuserve.com,1995-08-10,1
rot50.pi.net,1995-08-11,1
198.65.148.108,1995-08-12,2
193.166.0.65,1995-08-14,1
vyger108.nando.net,1995-08-15,1
s143.phxslip4.indirect.com,1995-08-15,1
cs8port.netvoyage.net,1995-08-17,3
discovery.lanl.gov,1995-08-17,6
133.95.151.40,1995-08-18,1
203.248.155.120,1995-08-18,1
143.91.120.17,1995-08-18,1
rdr5.ccinet.ab.ca,1995-08-22,2
tornado.met.psu.edu,1995-08-23,7
van01014.direct.ca,1995-08-25,2
198.252.88.171,1995-08-28,2
piranha.business.swt.edu,1995-08-28,2
dd13-026.compuserve.com,1995-07-02,1
ix-sc1-12.ix.netcom.com,1995-07-06,1
saito.ed.niigata-u.ac.jp,1995-07-06,1
modem2.mgl.ca,1995-07-06,1
www-b4.proxy.aol.com,1995-07-06,3
lub01.onramp.net,1995-07-07,2
pm010-10.dialip.mich.net,1995-07-08,1
dialup-3-178.gw.umn.edu,1995-07-09,12
query2.lycos.cs.cmu.edu,1995-07-10,1
reddragon.ksc.nasa.gov,1995-07-10,2
plato.helios.nd.edu,1995-07-10,3
nameserver.pwfl.com,1995-07-12,2
g4212m.unileoben.ac.at,1995-07-13,1
205.133.22.113,1995-07-13,1
137.35.75.123,1995-07-14,1
cs1-07.leh.ptd.net,1995-07-14,2
wanita.extern.ucsd.edu,1995-07-15,1
www-b4.proxy.aol.com,1995-07-17,2
www-c5.proxy.aol.com,1995-07-17,3
156.99.106.136,1995-07-17,2
dd11-030.compuserve.com,1995-07-18,1
philb.tiac.net,1995-07-19,7
jsc-b32-mac167.jsc.nasa.gov,1995-07-21,1
134.57.5.136,1995-07-24,2
bway-slip58.dynamic.usit.net,1995-07-25,2
news.manawatu.gen.nz,1995-08-30,1
196.4.81.117,1995-08-30,1
131.235.106.106,1995-08-30,1
199.183.205.151,1995-08-30,1
hapatia.math.lsu.edu,1995-08-31,3
163.205.154.122,1995-08-31,3
aba.physiol.umu.se,1995-07-27,2
194.166.7.30,1995-08-01,2
128.159.132.56,1995-08-03,1
199.190.117.3,1995-08-04,1
jbalboni.arc.nasa.gov,1995-08-04,4
svincent.pr.mcs.net,1995-08-05,2
dawn13.cs.berkeley.edu,1995-08-05,2
204.19.121.118,1995-08-06,1
www-b4.proxy.aol.com,1995-08-06,1
lash.vip.best.com,1995-08-07,6
deferg.ppp.usit.net,1995-08-07,1
dialup264.washington.mci.net,1995-08-09,3
168.143.7.117,1995-08-10,2
slip183-11.kw.jp.ibm.net,1995-08-11,1
206.24.43.11,1995-08-13,2
198.70.50.12,1995-08-13,2
198.79.48.58,1995-08-14,1
137.226.108.22,1995-08-14,4
ix-sj27-02.ix.netcom.com,1995-08-15,2
www-d3.proxy.aol.com,1995-08-18,1
www-a2.proxy.aol.com,1995-08-20,1
194.170.2.9,1995-08-20,2
caifas.btk.utu.fi,1995-08-20,1
pm3_18.digital.net,1995-08-21,1
dialup-4-59.gw.umn.edu,1995-08-23,1
ix-nyc15-07.ix.netcom.com,1995-08-23,1
204.255.76.93,1995-08-23,1
ccn.cs.dal.ca,1995-08-24,1
chimany.crpht.lu,1995-08-25,2
fkirchman.gsfc.nasa.gov,1995-08-25,1
kingpin.traveller.com,1995-08-28,1
160.227.122.113,1995-08-28,2
cs3-27.ior.com,1995-07-02,1
ad11-017.compuserve.com,1995-07-02,1
ix-wh6-29.ix.netcom.com,1995-07-03,1
www-b3.proxy.aol.com,1995-07-05,1
192.238.91.81,1995-07-06,1
192.209.41.107,1995-07-07,1
dyn2-043.cc.umanitoba.ca,1995-07-08,2
ix-wp1-21.ix.netcom.com,1995-07-09,2
202.248.44.130,1995-07-11,1
n1043352.ksc.nasa.gov,1995-07-13,2
vcarot.agr.upv.es,1995-07-18,1
cust35.max1.atlanta.ga.ms.uu.net,1995-07-19,1
128.159.58.8,1995-07-19,2
www-d3.proxy.aol.com,1995-07-23,1
aa092.du.pipex.com,1995-07-25,1
winnt1.tyler.net,1995-08-30,1
denv28.planet.net,1995-08-30,1
proxy0.research.att.com,1995-08-30,1
user36.znet.com,1995-08-30,4
dd19-062.compuserve.com,1995-08-30,2
p016.hk.skanska.se,1995-08-31,2
derekbs.oanet.com,1995-07-27,2
192.215.71.55,1995-08-03,1
astro.demon.co.uk,1995-08-04,1
cbxguy.vip.best.com,1995-08-05,1
dd11-009.compuserve.com,1995-08-08,3
inet-tis.toshiba.co.jp,1995-08-10,1
166.82.197.58,1995-08-12,2
www-b2.proxy.aol.com,1995-08-14,1
163.206.89.4,1995-08-16,4
133.205.17.42,1995-08-18,2
worm.hooked.net,1995-08-18,1
ip023.phx.primenet.com,1995-08-20,1
crmac6.larc.nasa.gov,1995-08-21,1
www-d3.proxy.aol.com,1995-08-23,1
van09262.direct.ca,1995-08-23,2
student9.pnl.gov,1995-08-24,1
cad211.cadvision.com,1995-08-27,2
poseidon.oo.com,1995-07-04,2
138.73.1.223,1995-07-05,2
202.49.164.24,1995-07-06,2
sapphire.cmh.uspra.abb.com,1995-07-06,2
130.103.48.217,1995-07-07,1
www-d3.proxy.aol.com,1995-07-08,5
ix-chi9-14.ix.netcom.com,1995-07-11,1
ppp_1.bcn.servicom.es,1995-07-11,3
149.165.37.52,1995-07-12,1
163.205.23.153,1995-07-14,2
quasar.fastlane.net,1995-07-17,10
164.159.192.16,1995-07-18,1
143.166.140.154,1995-07-18,1
purkey.ari.net,1995-07-18,1
neuromancer.hacks.arizona.edu,1995-07-19,1
fw.dentsu.co.jp,1995-07-20,2
ppp5.jax-inter.net,1995-07-20,1
piweba4y.prodigy.com,1995-07-20,1
128.217.62.45,1995-07-21,1
engr.engr.uark.edu,1995-07-22,7
pm2_17.digital.net,1995-07-25,2
128.217.61.118,1995-08-29,1
van03072.direct.ca,1995-08-29,3
pppd017.compuserve.com,1995-07-26,1
buick.infomatch.com,1995-07-27,1
hpfcla.fc.hp.com,1995-08-04,6
y.nsf.gov,1995-08-08,1
bbs5.chief.co.il,1995-08-10,3
cturner.larc.nasa.gov,1995-08-11,2
slip153-132.on.ca.ibm.net,1995-08-15,1
poppy.hensa.ac.uk,1995-08-21,1
james.freenet.hamilton.on.ca,1995-08-25,1
punkbot.vip.best.com,1995-08-27,6
p12.intergate.net,1995-07-01,1
disarray.demon.co.uk,1995-07-03,4
sarastro.csd.unb.ca,1995-07-07,1
miracle.msfc.nasa.gov,1995-07-12,2
aleko.mindspring.com,1995-07-15,1
ix-dfw13-25.ix.netcom.com,1995-07-16,1
aurora.research.ptt.nl,1995-07-17,1
drjo007a188.embratel.net.br,1995-07-17,1
rainesb.baylor.edu,1995-07-17,3
141.102.26.43,1995-07-17,1
pc16.hun3.ocps.k12.fl.us,1995-07-18,1
janus.hwc.ca,1995-07-18,1
128.159.140.124,1995-07-19,2
ctulab13.mck.ncsu.edu,1995-07-19,1
204.214.29.68,1995-07-20,2
brpc.multnomah.lib.or.us,1995-07-21,1
155.31.11.199,1995-07-21,1
198.62.13.140,1995-07-21,4
pm0p28.iohk.com,1995-07-22,1
163.234.34.54,1995-07-24,2
webgate1.mot.com,1995-07-24,1
193.59.104.131,1995-08-31,1
sahp315.sandia.gov,1995-08-31,1
homer.libby.org,1995-08-31,1
139.169.82.218,1995-08-04,1
p41.superlink.net,1995-08-06,1
ppp1.globalone.net,1995-08-06,4
minos.bch.umontreal.ca,1995-08-07,1
dialup-86.austin.io.com,1995-08-08,1
tecnet1.jcte.jcs.mil,1995-08-10,1
gate1.ks.se,1995-08-11,7
gatekeeper.us.oracle.com,1995-08-14,2
pc_edsr.ed.nce.sita.int,1995-08-18,4
cs1-01.haw.ptd.net,1995-08-20,3
port13.netdoor.com,1995-08-20,5
clam.maffish.govt.nz,1995-08-21,8
flight.osc.on.ca,1995-08-22,6
feline.acad.humberc.on.ca,1995-08-23,2
sys1013103.orl.mmc.com,1995-08-24,1
dub.portola.com,1995-08-25,1
ip41.st.louis.mo.interramp.com,1995-08-27,2
www-b6.proxy.aol.com,1995-08-28,1
unix.ccsnet.com,1995-07-01,1
ix-tam4-15.ix.netcom.com,1995-07-02,2
sam-slip-l5.neosoft.com,1995-07-03,3
tinker.atlanta.com,1995-07-04,1
202.248.44.130,1995-07-04,1
151.99.189.2,1995-07-04,1
castles13.castles.com,1995-07-04,2
du1-async-02.nmsu.edu,1995-07-04,3
gateway.cary.ibm.com,1995-07-06,1
nsdux1.netsysdev.telerate.com,1995-07-06,1
198.14.55.105,1995-07-07,2
port39.tserver1.ucf.edu,1995-07-10,9
134.57.33.140,1995-07-11,2
ppp05.seacoast.com,1995-07-13,1
smc.tor.hookup.net,1995-07-16,1
annex12-20.dial.umd.edu,1995-07-17,2
llgm07k1.re.nettuno.it,1995-07-20,1
osk0130.bekkoame.or.jp,1995-07-22,3
bos1b.delphi.com,1995-07-23,1
www-b2.proxy.aol.com,1995-07-24,1
193.246.45.230,1995-07-24,1
koriel.sun.com,1995-08-29,1
204.58.153.28,1995-08-30,3
ix-kc6-02.ix.netcom.com,1995-08-30,1
163.206.104.34,1995-08-30,1
chaos.michsb.trw.com,1995-08-30,1
op1.sbac.edu,1995-08-31,1
mallard2.duc.auburn.edu,1995-07-27,1
dynastes.life.uiuc.edu,1995-07-27,1
152.120.105.243,1995-07-28,4
odin.uniandes.edu.co,1995-08-03,2
jimi.vianet.net.au,1995-08-07,1
158.140.56.243,1995-08-17,1
koriel.sun.com,1995-08-18,4
gateway.nmg.sms.siemens.com,1995-08-20,1
ix-sea8-27.ix.netcom.com,1995-08-21,1
198.252.88.171,1995-08-21,3
ts00-ind-5.iquest.net,1995-08-21,2
163.205.80.7,1995-08-23,1
phoenix.doc.ic.ac.uk,1995-08-24,1
cust49.max7.seattle.wa.ms.uu.net,1995-08-29,2
seigate.sumiden.co.jp,1995-08-29,1
202.248.44.130,1995-07-02,1
wwwproxy.sanders.com,1995-07-03,2
cust2.max1.seattle.wa.ms.uu.net,1995-07-04,1
148.4.9.217,1995-07-05,4
ad08-029.compuserve.com,1995-07-07,1
pm2_15.digital.net,1995-07-08,2
chucklepatch.j51.com,1995-07-09,7
grapenuts.execpc.com,1995-07-09,2
129.172.174.165,1995-07-10,1
brucehall19.anu.edu.au,1995-07-13,1
w0036.otsuka-shokai.co.jp,1995-07-14,2
news.ti.com,1995-07-14,1
150.199.150.6,1995-07-14,3
pdowling.demon.co.uk,1995-07-15,2
pctsm.nera.no,1995-07-19,1
eggcll.ksc.nasa.gov,1995-07-19,2
rosewood.frco.com,1995-07-19,7
128.217.63.14,1995-07-20,6
racerx.rdyne.rockwell.com,1995-07-20,1
marcm.remote.ualberta.ca,1995-07-22,1
199.78.81.131,1995-07-22,1
www-a1.proxy.aol.com,1995-07-23,1
slip132-130.dc.us.ibm.net,1995-07-25,1
dialup9.mn.interact.net,1995-07-25,1
204.157.124.204,1995-07-26,2
gate-holodeck.inel.gov,1995-08-29,1
ball.uunet.ca,1995-08-29,1
randyfry.oanet.com,1995-08-29,1
mpngate5.ny.us.ibm.net,1995-08-30,1
205.160.190.12,1995-07-27,2
205.216.246.101,1995-08-04,1
asd01-28.dial.xs4all.nl,1995-08-09,1
ix-mia1-11.ix.netcom.com,1995-08-10,1
tivsu8.etec.uni-karlsruhe.de,1995-08-11,2
ftp.mel.aone.net.au,1995-08-12,1
130.225.242.79,1995-08-13,1
202.251.250.98,1995-08-14,1
echamp.vetmed.vt.edu,1995-08-18,1
134.120.220.153,1995-08-19,1
dd01-036.compuserve.com,1995-08-20,1
mozart.telepac.pt,1995-08-21,1
ppp16.coara.or.jp,1995-08-23,3
server1.opennet.net.au,1995-08-24,1
yellow66.nada.kth.se,1995-08-25,2
203.253.253.70,1995-07-01,1
sl-3.ducomm.du.edu,1995-07-02,4
ix-hou5-06.ix.netcom.com,1995-07-02,1
dialup-3-236.gw.umn.edu,1995-07-03,3
estyp2.estec.esa.nl,1995-07-03,1
line10.pm1.abb.mindlink.net,1995-07-04,1
corning.com,1995-07-05,1
mrm.mt.net,1995-07-06,2
proxy.austin.ibm.com,1995-07-07,2
derf.rtp.dg.com,1995-07-08,1
205152.tsphere.com,1995-07-10,2
rover.interpath.net,1995-07-10,1
dd09-023.compuserve.com,1995-07-10,2
ix-sea7-18.ix.netcom.com,1995-07-12,1
129.48.125.52,1995-07-12,2
163.205.156.16,1995-07-13,2
s013n199.csun.edu,1995-07-14,5
ip-pdx7-48.teleport.com,1995-07-14,1
baddog.tamu.edu,1995-07-15,7
dialup-11-c-172.gw.umn.edu,1995-07-16,3
lgbppp18.uni-c.dk,1995-07-18,1
erau.db.erau.edu,1995-07-19,1
intergate.rbuhsd.k12.ca.us,1995-07-19,5
fruzy.planet.net,1995-07-23,1
intgate.raleigh.ibm.com,1995-07-24,1
madge1.madge.co.uk,1995-07-25,1
probe.ucs.ualberta.ca,1995-08-29,2
pc21368.hss.cmu.edu,1995-07-27,1
d102.tp.interaccess.com,1995-07-27,2
ppp21.ingress.com,1995-08-04,2
203.13.168.17,1995-08-06,17
kip165.austin.apple.com,1995-08-07,3
moe15.slip.yorku.ca,1995-08-07,1
webgate1.mot.com,1995-08-08,1
ts120.eiu.bgu.edu,1995-08-08,1
vlpc4.gsi-mc.go.jp,1995-08-09,2
van12350.direct.ca,1995-08-11,1
199.174.173.22,1995-08-12,1
203.12.97.131,1995-08-13,2
205.186.74.77,1995-08-13,2
mac-11143.sr-building.uh.edu,1995-08-14,1
bubba1.interex-95.interex.org,1995-08-14,1
ppp2004.po.iijnet.or.jp,1995-08-16,1
ix-pas10-16.ix.netcom.com,1995-08-17,2
dal02-08.ppp.iadfw.net,1995-08-17,2
cust36.max1.st-louis.mo.ms.uu.net,1995-08-20,2
slip-ppp14.feldspar.com,1995-08-20,1
ren.ksc.nasa.gov,1995-08-21,6
van02032.direct.ca,1995-08-24,2
ruger-53.slip.uiuc.edu,1995-07-02,5
reddragon.ksc.nasa.gov,1995-07-05,2
sslip-02.mother.com,1995-07-07,4
ip151.islip.ny.interramp.com,1995-07-08,1
ts5-4.westwood.ts.ucla.edu,1995-07-09,2
jaguar.iis.varian.com,1995-07-10,2
dd09-045.compuserve.com,1995-07-11,1
170.55.10.43,1995-07-12,1
harker.dnaco.net,1995-07-13,1
fugen.edu.is.saga-u.ac.jp,1995-07-13,1
167.21.150.133,1995-07-19,2
na1.dow.com,1995-07-19,3
ten-nash.ten.k12.tn.us,1995-07-20,1
piweba3y.prodigy.com,1995-07-21,5
compwise.tecc.co.uk,1995-07-21,1
ae086.du.pipex.com,1995-07-24,2
ad01-009.compuserve.com,1995-07-24,1
ts8-54.upenn.edu,1995-07-24,1
bhasting.rbi.com,1995-08-31,1
hydra.ksc.nasa.gov,1995-08-03,1
bensmtp.ksc.nasa.gov,1995-08-09,1
158.114.228.10,1995-08-09,1
slsyd1p35.ozemail.com.au,1995-08-10,3
jsgp.slip.lm.com,1995-08-10,1
204.31.232.129,1995-08-12,1
199.174.129.42,1995-08-12,1
gate.emeagate.ibm.com,1995-08-14,1
163.202.2.9,1995-08-17,1
163.206.11.40,1995-08-17,3
rmcg.cts.com,1995-08-19,1
www-c1.proxy.aol.com,1995-08-19,2
charon.fmi.com,1995-08-20,1
xyp500p18.ltec.net,1995-08-20,1
cocoa13.ksc.nasa.gov,1995-08-22,1
tecplan.infocom.co.jp,1995-08-23,1
csp29.reuna.cl,1995-08-23,1
larrylarsen.earthlink.net,1995-08-23,2
ts03-ind-12.iquest.net,1995-08-24,1
ip214.tus.primenet.com,1995-08-24,1
pool6_5.odyssee.net,1995-08-25,1
rigel12.wco.com,1995-08-26,1
dmrowley.pdial.interpath.net,1995-08-27,2
corp-uu.infoseek.com,1995-07-01,4
airbus.oec.com,1995-07-02,1
death.cs.umd.edu,1995-07-03,1
luna.execpc.com,1995-07-03,1
dstaight.seanet.com,1995-07-04,1
scorpio.uprc.com,1995-07-05,1
128.96.6.35,1995-07-05,2
